"id","group_code","group_name","sub_code","task_name","ly_trinh","unit","design_quantity"
"1","1","Đường Giao Thông","1.1","Đường giao thông",,,
"2","1","Đường Giao Thông","1.1.1","Đào xúc đất, đất cấp I",,"100m3","174.3658"
"3","1","Đường Giao Thông","1.1.2","Đào nền đường, đất cấp III",,"100m3","483.437"
"4","1","Đường Giao Thông","1.1.3","Vận chuyển đất trong phạm vi <= 500m (vận chuyển nội bộ dự án để tận dụng lại)",,"100m3","174.3658"
"5","1","Đường Giao Thông","1.1.4","Đắp đất nền đường, độ chặt yêu cầu K=0,95",,"100m3","288.611"
"6","1","Đường Giao Thông","1.1.5","Đắp đất nền đường, độ chặt yêu cầu K=0,90",,"100m3","585.3424"
"7","1","Đường Giao Thông","1.1.6","Đắp đất nền đường, độ chặt yêu cầu K=0,98",,"100m3","216.7738"
"8","1","Đường Giao Thông","1.1.7","Mua đất đắp, giá trên phương tiện vận chuyển của bên mua tại mỏ đất và bao gồm vận chuyển đến chân công trình",,"m3","62053.8171"
"9","1","Đường Giao Thông","1.1.8","Rải thảm mặt đường bê tông nhựa hạt mịn C9.5, chiều dày mặt đường đã lèn ép 5 cm",,"100m2","437.7051"
"10","1","Đường Giao Thông","1.1.9","Tưới nhựa dính bám mặt đường, lượng nhựa 0,5 kg/m2",,"100m2","13.1601"
"11","1","Đường Giao Thông","1.1.10","Rải thảm mặt đường bê tông nhựa hạt trung C12.5, chiều dày mặt đường đã lèn ép 7 cm",,"100m2","437.7051"
"12","1","Đường Giao Thông","1.1.11","Tưới nhựa thấm bám mặt đường, lượng nhựa 1,0 kg/m2",,"100m2","437.7051"
"13","1","Đường Giao Thông","1.1.12","Thi công móng cấp phối đá dăm lớp trên",,"100m3","65.7145"
"14","1","Đường Giao Thông","1.1.13","Thi công móng cấp phối đá dăm lớp dưới",,"100m3","108.8938"
"15","1","Đường Giao Thông","1.2","Vỉa hè",,,
"16","1","Đường Giao Thông","1.2.1","Lát gạch vỉa hè gạch block tự chèn, chiều dày 6cm",,"m2","13160.12"
"17","1","Đường Giao Thông","1.2.2","Đắp cát công trình, độ chặt yêu cầu K=0,90",,"100m3","13.1601"
"18","1","Đường Giao Thông","1.2.3","Bê tông lót móng bó vỉa, đá 1x2, mác 150",,"m3","503.3021"
"19","1","Đường Giao Thông","1.2.4","Cung cấp và lắp đặt Bó vỉa giải phân cách18x53x100cm, vữa XM mác 100",,"m","601.16"
"20","1","Đường Giao Thông","1.2.5","Cung cấp và lắp đặt Bó vỉa hè 23x26x100cm, vữa XM mác 100",,"m","5293.64"
"21","1","Đường Giao Thông","1.2.6","Tấm đan rãnh 50x30x5cm",,"cái","10436"
"22","1","Đường Giao Thông","1.2.7","Xây tường thẳng bằng gạch đất sét nung 6,5x10,5x22, chiều dày <= 33cm, vữa XM mác 75",,"m3","188.9605"
"23","1","Đường Giao Thông","1.2.8","Công tác ốp gạch lá dứa, vữa XM mác 75",,"m2","1093.1551"
"24","1","Đường Giao Thông","1.3","Cây xanh",,,
"25","1","Đường Giao Thông","1.3.1","Cây Bằng lăng đường kính 15cm, cao >1.3m hoặc tương đương",,"cây","654"
"26","1","Đường Giao Thông","1.3.2","Trồng và chăm sóc cây trong thời gian 1 tháng",,"cây/lần","654"
"27","1","Đường Giao Thông","1.3.3","Duy trì cây bóng mát mới trồng đường kính >6cm (cây dưới 2 năm).",,"10 cây/tháng","65.4"
"28","1","Đường Giao Thông","1.3.4","Cỏ lá gừng",,"m2","30600.76"
"29","1","Đường Giao Thông","1.3.5","Làm đất kỹ thuật trước khi trồng cây",,"100m2/lần","306.0076"
"30","1","Đường Giao Thông","1.3.6","Trồng, chăm sóc cỏ gừng",,"m2/tháng","30600.76"
"31","1","Đường Giao Thông","1.3.7","Duy trì thảm cỏ gừng. Công viên, vườn hoa, khu đô thị",,"100m2/tháng","306.0076"
"32","1","Đường Giao Thông","1.3.8","Bồi đất màu, san tại chỗ và vận chuyển 50m (đất tận dụng từ đất hữu cơ của dự án)",,"1m3","3461.24"
"33","1","Đường Giao Thông","1.4","Tổ chức giao thông",,,
"34","1","Đường Giao Thông","1.4.1","Sơn kẻ đường bằng sơn dẻo nhiệt phản quang, chiều dày lớp sơn 2,0mm",,"m2","1841.93"
"35","1","Đường Giao Thông","1.4.2","Sơn kẻ vạch giảm tốc có chiều dày 6mm hướng vào nút giao",,"m2","210"
"36","1","Đường Giao Thông","1.4.3","Biển báo vuông 600x600, theo QC41",,"cái","24"
"37","1","Đường Giao Thông","1.4.4","Biển báo tam giác A700, theo QC41",,"cái","4"
"38","1","Đường Giao Thông","1.4.5","Biển báo tròn D700, theo QC41",,"cái","7"
"39","1","Đường Giao Thông","1.4.6","Cột biển báo đơn (D80, cao 3m, sơn trắng đỏ), theo QC41",,"cái","29"
"40","1","Đường Giao Thông","1.4.7","Cột biển báo đôi (D80, cao 3.65m, sơn trắng đỏ), theo QC41",,"cái","3"
"41","1","Đường Giao Thông","1.4.8","Bê tông Móng, chiều rộng <= 250 cm, đá 1x2, mác 150.",,"m3","2.56"
"42","1","Đường Giao Thông","1.4.9","Lắp đặt cột và biển báo",,"cái","32"
