"id","group_code","group_name","sub_group_code","sub_group_name","task_name","ly_trinh","unit","thiet_ke","percent_week","percent_duan","note","from_date","to_date","sub_code","sub_name"
"150","I","Giao thông",,,,,"m3","1636.57","100","100",,"2025-06-09","2025-06-15","I.1","Tuyến nội khu"
"151","I","Giao thông",,,,,"m3","1636.57","100","100",,"2025-06-09","2025-06-15","1","Vét hữu cơ"
"152","I","Giao thông",,,,"Km0+900-Km1+16.75","m3","11361.14","143","76",,"2025-06-09","2025-06-15","3","Đắp nền K90"
"153","I","Giao thông",,,,"Km0+900-Km1+16.75","m3","4962.18","82","87",,"2025-06-09","2025-06-15","4","Đắp nền K95"
"154","I","Giao thông",,,,,"m3","6574.12","0","43",,"2025-06-09","2025-06-15","I.2","Tuyến số 2"
"155","I","Giao thông",,,,"#REF!","m3","6574.12","0","43",,"2025-06-09","2025-06-15","1","Vét hữu cơ"
"156","I","Giao thông",,,,"#REF!","m3","36233.86","80","3","ảnh hưởng mưa","2025-06-09","2025-06-15","3","Đắp nền K90"
"157","I","Giao thông",,,,"#REF!","m3","18387.74","80","4","ảnh hưởng mưa","2025-06-09","2025-06-15","4","Đắp nền K95"
"158","II","Thoát nước mưa",,,,,,,,,,"2025-06-09","2025-06-15","II.1","Tuyến Cải tạo"
"159","II","Thoát nước mưa",,,,"Từ G7 đến G14","m3","1374.58","#REF!","#REF!","Vướng mặt bằng thi công (công trình ngầm)","2025-06-09","2025-06-15","1","Thi công đào móng ga cống"
"160","II","Thoát nước mưa",,,,"Từ G7 đến G14","m3","44.71","#REF!","#REF!","Vướng mặt bằng thi công (công trình ngầm)","2025-06-09","2025-06-15","2","Thi công lớp cát đệm đầm chặt K95"
"161","I","Giao thông",,,,,,,,,,"2025-06-16","2025-06-22","I.3","Tuyến cải tạo và nút giao H3"
"162","I","Giao thông",,,,"Lý trình 5+000 đến 5+500","m2","1500","80","90","Đã hoàn thành đúng tiến độ","2025-06-16","2025-06-22","1","Thi công lớp bê tông nhựa mặt đường dày 5cm"
"163","I","Giao thông",,,,"Lý trình 5+000 đến 5+500","m3","1000","70","80","Đã đạt 80% tiến độ, còn lại do mưa","2025-06-16","2025-06-22","2","Đắp nền K98"
"164","II","Thoát nước mưa",,,,,,,,,,"2025-06-16","2025-06-22","II.2","Tuyến thoát nước QL21"
"165","II","Thoát nước mưa",,,,"Lý trình 0+100 đến 0+800","m","700","60","80",,"2025-06-16","2025-06-22","1","Đào mương thoát nước QL21"
"166","II","Thoát nước mưa",,,,"Lý trình 0+100 đến 0+800","cái","20","50","60","Còn vướng 2 vị trí mặt bằng","2025-06-16","2025-06-22","2","Lắp đặt cống D800"
"167","I.1","Tuyến nội khu",,,,"nan","m3","1636.57",,,"nan","2025-06-23","2025-06-29",,"Vét hữu cơ"
"168","I.1","Tuyến nội khu",,,,"Km0+100- Km0+900","m3","29504.069999999992",,,"nan","2025-06-23","2025-06-29",,"Đào cấp, đào nền, khuôn đường"
"169","I.1","Tuyến nội khu",,,,"Km0+900 - Km1+15.76","m3","11361.14",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K90"
"170","I.1","Tuyến nội khu",,,,"Km0+900 - Km1+15.76","m3","4962.179999999999",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K95"
"171","I.2","Tuyến số 2",,,,"Km0+160.38- Km0+400","m3","6574.119999999998",,,"nan","2025-06-23","2025-06-29",,"Vét hữu cơ"
"172","I.2","Tuyến số 2",,,,"Km0+160.38- Km0+400","m3","3713.6300000000006",,,"nan","2025-06-23","2025-06-29",,"Đào cấp, đào nền, khuôn đường"
"173","I.2","Tuyến số 2",,,,"Km0+160.38- Km0+400","m3","36233.86000000001",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K90"
"174","I.2","Tuyến số 2",,,,"Km0+160.38- Km0+400","m3","18387.740000000005",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K95"
"175","I.2a","Nút giao tuyến số 2",,,,"Km0+7.21- Km0+27.5","m3","2529.3060000000005",,,"nan","2025-06-23","2025-06-29",,"Vét hữu cơ"
"176","I.2a","Nút giao tuyến số 2",,,,"Km0+7.21- Km0+27.5","m3","1242.0700664999986",,,"nan","2025-06-23","2025-06-29",,"Đào cấp, đào nền, khuôn đường"
"177","I.2a","Nút giao tuyến số 2",,,,"Km0+7.21- Km0+27.5","m3","8668.1274428",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K90"
"178","I.2a","Nút giao tuyến số 2",,,,"Km0+7.21- Km0+27.5","m3","5497.91",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K95"
"179","I.3","Tuyến chính CT",,,,"nan","m3","1123.98",,,"nan","2025-06-23","2025-06-29",,"Vét hữu cơ"
"180","I.3","Tuyến chính CT",,,,"nan","m3","2751.25",,,"nan","2025-06-23","2025-06-29",,"Đào nền, khuôn đường"
"181","I.3","Tuyến chính CT",,,,"nan","m3","1971.2299999999998",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K90"
"182","I.3","Tuyến chính CT",,,,"nan","m3","0",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K95"
"183","I.3","Tuyến chính CT",,,,"nan","m3","1058.53",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K98"
"184","I.3","Tuyến chính CT",,,,"nan","m3","529.235",,,"nan","2025-06-23","2025-06-29",,"Subase"
"185","I.4","Tuyến nhánh CT",,,,"nan","m3","62.82",,,"nan","2025-06-23","2025-06-29",,"Vét hữu cơ"
"186","I.4","Tuyến nhánh CT",,,,"nan","m3","570.6899999999999",,,"nan","2025-06-23","2025-06-29",,"Đào nền, khuôn đường"
"187","I.4","Tuyến nhánh CT",,,,"nan","m3","198.41",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K90"
"188","I.4","Tuyến nhánh CT",,,,"nan","m3","13.270000000000001",,,"nan","2025-06-23","2025-06-29",,"Đắp nền K95"
