group_code,group_name,sub_code,sub_name,ly_trinh,unit,thiet_ke,percent_week,note,from_date,to_date
I.1,Tuyến nội khu,,Vét hữu cơ,nan,m3,1636.57,,nan,2025-06-23,2025-06-29
I.1,Tuyến nội khu,,"Đào cấp, đào nền, khuôn đường",Km0+100- Km0+900,m3,29504.069999999992,,nan,2025-06-23,2025-06-29
I.1,Tuyến nội khu,,Đắp nền K90,Km0+900 - Km1+15.76,m3,11361.14,,nan,2025-06-23,2025-06-29
I.1,Tuyến nội khu,,Đắp nền K95,Km0+900 - Km1+15.76,m3,4962.179999999999,,nan,2025-06-23,2025-06-29
I.2,Tuyến số 2,,Vét hữu cơ,Km0+160.38- Km0+400,m3,6574.119999999998,,nan,2025-06-23,2025-06-29
I.2,Tuyến số 2,,"Đào cấp, đào nền, khuôn đường",Km0+160.38- Km0+400,m3,3713.6300000000006,,nan,2025-06-23,2025-06-29
I.2,Tuyến số 2,,Đắp nền K90,Km0+160.38- Km0+400,m3,36233.86000000001,,nan,2025-06-23,2025-06-29
I.2,Tuyến số 2,,Đắp nền K95,Km0+160.38- Km0+400,m3,18387.740000000005,,nan,2025-06-23,2025-06-29
I.2a,Nút giao tuyến số 2,,Vét hữu cơ,Km0+7.21- Km0+27.5,m3,2529.3060000000005,,nan,2025-06-23,2025-06-29
I.2a,Nút giao tuyến số 2,,"Đào cấp, đào nền, khuôn đường",Km0+7.21- Km0+27.5,m3,1242.0700664999986,,nan,2025-06-23,2025-06-29
I.2a,Nút giao tuyến số 2,,Đắp nền K90,Km0+7.21- Km0+27.5,m3,8668.1274428,,nan,2025-06-23,2025-06-29
I.2a,Nút giao tuyến số 2,,Đắp nền K95,Km0+7.21- Km0+27.5,m3,5497.91,,nan,2025-06-23,2025-06-29
I.3,Tuyến chính CT,,Vét hữu cơ,nan,m3,1123.98,,nan,2025-06-23,2025-06-29
I.3,Tuyến chính CT,,"Đào nền, khuôn đường",nan,m3,2751.25,,nan,2025-06-23,2025-06-29
I.3,Tuyến chính CT,,Đắp nền K90,nan,m3,1971.2299999999998,,nan,2025-06-23,2025-06-29
I.3,Tuyến chính CT,,Đắp nền K95,nan,m3,0,,nan,2025-06-23,2025-06-29
I.3,Tuyến chính CT,,Đắp nền K98,nan,m3,1058.53,,nan,2025-06-23,2025-06-29
I.3,Tuyến chính CT,,Subase,nan,m3,529.235,,nan,2025-06-23,2025-06-29
I.4,Tuyến nhánh CT,,Vét hữu cơ,nan,m3,62.82,,nan,2025-06-23,2025-06-29
I.4,Tuyến nhánh CT,,"Đào nền, khuôn đường",nan,m3,570.6899999999999,,nan,2025-06-23,2025-06-29
I.4,Tuyến nhánh CT,,Đắp nền K90,nan,m3,198.41,,nan,2025-06-23,2025-06-29
I.4,Tuyến nhánh CT,,Đắp nền K95,nan,m3,13.270000000000001,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,D600,nan,nan,nan,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,Thi công đào móng ga cống,Từ G7 đến G14,m3,1374.5827801137764,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,Thi công lớp cát đệm đầm chặt K95,Từ G7 đến G14,m3,44.714000000000006,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,Thi công lớp đá dăm 2x4 đệm,Từ G7 đến G14,m3,67.071,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,Lắp đặt cống D600,Từ G7 đến G14,m,566,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,Thi công lớp đá dăm 2x4 đệm móng hố ga,Từ G7 đến G14,m3,19.968000000000004,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,Thi công bê tông lót M100 móng hố ga,Từ G7 đến G14,m3,14.976000000000003,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,Lắp đặt hố ga D600,Từ G7 đến G14,cái,39,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,D800,nan,nan,nan,,nan,2025-06-23,2025-06-29
II.1,Tuyến Cải tạo,,Thi công đào móng ga cống,nan,m3,1715.879529505439,,nan,2025-06-23,2025-06-29
